TSP Name,TSP,Location,Location_Name,Location_Zone,Loc_Purp,All_Qty_Avail,Loc/QTI,Flow_Ind,IT,Design_Capacity,Operational_Capacity,TSQ,OAC,Eff_Gas_Day/Time,CycleDesc,Posting_Date/Time,Measurement_Basis,Pressure_Base
Kinetica Partners LLC,17960426,12650,012650-T-Discovery,1.0,M2,Y,RDQ,R,N,250000,250000,0,250000,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24027,024027-T-TARGA SEAHAWK DELIVERY,1.0,MQ,Y,RDQ,D,N,68507,68507,0,68507,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14015,014015-T-SMI 58G Dehy,1.0,M2,Y,RDQ,R,Y,87724,87724,7649,80075,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11182,011182-T-SS 182 C,1.0,M2,Y,RDQ,R,N,29493,29493,520,28973,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12584,012584-T-WCAM BLK 18 ,1.0,M2,Y,RDQ,R,Y,200874,200874,4850,196024,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24025,024025-T-SS 169C BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,N,4500,4500,0,4500,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,14012,014012-T-SS 193A RIP 523M-2911,1.0,M2,Y,RDQ,R,Y,4500,4500,2,4498,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,11069,011069-T-EI 257 D 1,1.0,M2,Y,RDQ,R,N,59082,59082,1,59081,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,24023,024023-T-SS 182C #2 BUYBACK RIP 523M-2911,1.0,MQ,Y,RDQ,D,Y,4500,4500,1,4499,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
Kinetica Partners LLC,17960426,12516,012516-T-VENICE INTERCONNECT,1.0,M2,Y,RDQ,R,N,372243,200000,0,200000,08/25/2022 09:00:00 AM,Evening,08/24/2022 08:10:25 PM,Million BTUs (DTH),14.73 psia
